library_id,namespace,meta,proj,release,release_id,max_cvss,cve_count
maven|ch.qos.logback|logback-classic|0.2.5,maven,ch.qos.logback,logback-classic,0.2.5,1000,9.8,2
maven|ch.qos.logback|logback-classic|0.3,maven,ch.qos.logback,logback-classic,0.3,1001,9.8,2
maven|ch.qos.logback|logback-classic|0.5,maven,ch.qos.logback,logback-classic,0.5,1002,9.8,2
maven|ch.qos.logback|logback-classic|0.6,maven,ch.qos.logback,logback-classic,0.6,1003,9.8,2
maven|ch.qos.logback|logback-classic|0.7,maven,ch.qos.logback,logback-classic,0.7,1004,9.8,2
maven|ch.qos.logback|logback-classic|0.7.1,maven,ch.qos.logback,logback-classic,0.7.1,1005,9.8,2
maven|ch.qos.logback|logback-classic|0.8,maven,ch.qos.logback,logback-classic,0.8,1006,9.8,2
maven|ch.qos.logback|logback-classic|0.8.1,maven,ch.qos.logback,logback-classic,0.8.1,1007,9.8,2
maven|ch.qos.logback|logback-classic|0.9,maven,ch.qos.logback,logback-classic,0.9,1008,9.8,2
maven|ch.qos.logback|logback-classic|0.9.1,maven,ch.qos.logback,logback-classic,0.9.1,1009,9.8,2
maven|ch.qos.logback|logback-classic|0.9.2,maven,ch.qos.logback,logback-classic,0.9.2,1010,9.8,2
maven|ch.qos.logback|logback-classic|0.9.3,maven,ch.qos.logback,logback-classic,0.9.3,1011,9.8,2
maven|ch.qos.logback|logback-classic|0.9.4,maven,ch.qos.logback,logback-classic,0.9.4,1012,9.8,2
maven|ch.qos.logback|logback-classic|0.9.5,maven,ch.qos.logback,logback-classic,0.9.5,1013,9.8,2
maven|ch.qos.logback|logback-classic|0.9.6,maven,ch.qos.logback,logback-classic,0.9.6,1014,9.8,2
maven|ch.qos.logback|logback-classic|0.9.7,maven,ch.qos.logback,logback-classic,0.9.7,1015,9.8,2
maven|ch.qos.logback|logback-classic|0.9.8,maven,ch.qos.logback,logback-classic,0.9.8,1016,9.8,2
maven|ch.qos.logback|logback-classic|0.9.9,maven,ch.qos.logback,logback-classic,0.9.9,1017,9.8,2
