consumer_id,library_id,direct,qualifier,parent_id
github|finos|legend-studio,maven|com.fasterxml.jackson.core|jackson-databind|2.14.2,1,runtime,
github|finos|legend-studio,maven|org.apache.logging.log4j|log4j-core|2.14.1,1,runtime,
github|finos|legend-studio,maven|org.springframework.boot|spring-boot-starter-web|2.7.18,1,runtime,
github|finos|legend-studio,maven|org.springframework|spring-beans|5.3.17,0,runtime,maven|org.springframework.boot|spring-boot-starter-web|2.7.18
github|finos|legend-studio,maven|org.springframework|spring-context|5.3.39,0,runtime,maven|org.springframework.boot|spring-boot-starter-web|2.7.18
github|finos|legend-studio,maven|org.springframework|spring-web|5.3.39,0,runtime,maven|org.springframework.boot|spring-boot-starter-web|2.7.18
github|finos|legend-studio,maven|org.yaml|snakeyaml|1.33,0,runtime,maven|org.springframework.boot|spring-boot-starter-web|2.7.18
github|finos|perspective,maven|com.fasterxml.jackson.core|jackson-databind|2.14.2,1,runtime,
github|finos|perspective,maven|io.netty|netty-codec-http2|4.1.99.Final,0,runtime,maven|io.projectreactor.netty|reactor-netty-http|1.0.39
github|finos|perspective,maven|io.projectreactor.netty|reactor-netty-http|1.0.39,0,runtime,maven|org.springframework.boot|spring-boot-starter-webflux|2.7.18
github|finos|perspective,maven|org.bitbucket.b_c|jose4j|0.9.2,1,runtime,
github|finos|perspective,maven|org.springframework.boot|spring-boot-starter-webflux|2.7.18,1,runtime,
github|finos|symphony-bdk-java,maven|com.fasterxml.jackson.core|jackson-databind|2.14.2,1,runtime,
github|finos|symphony-bdk-java,maven|org.apache.activemq|activemq-client|5.17.2,0,runtime,maven|org.apache.camel|camel-activemq|3.20.6
github|finos|symphony-bdk-java,maven|org.apache.camel|camel-activemq|3.20.6,1,runtime,
github|finos|symphony-bdk-java,maven|org.junit.jupiter|junit-jupiter|5.10.1,1,test,
github|finos|symphony-bdk-java,maven|org.springframework|spring-webmvc|6.1.3,1,runtime,
